"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
135,"Lat: 51.704994, Lng: 12.048506","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",51.704994,12.048506
136,"Lat: 51.1494651, Lng: 11.9165923","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
production stemwood

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.1494651,11.9165923
137,"Lat: 51.014189, Lng: 11.643489","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","","","","","Agroforestry Map of Europe - DigitAF",51.014189,11.643489
138,"Lat: 51.438826, Lng: 12.531897","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity","(Intended) use of trees:
production biofuel wood
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.438826,12.531897
139,"Lat: 51.256645, Lng: 13.960427","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity
susceptibility to erosion","(Intended) use of trees:
production biofuel wood

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.256645,13.960427
140,"Lat: 51.25121, Lng: 14.17402","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","susceptibility to erosion
species-poor site
landscape with few structures / landscaope elements","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.25121,14.17402
141,"Lat: 51.424954, Lng: 6.234517","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
production biofuel wood
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.424954,6.234517
142,"Lat: 51.2066514, Lng: 6.602472823457184","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","Other agroforestry products: 1 Reihe Maronen 25 Bäume160 Streuobstbäume auf Wiesen und in Reihenca 15 ha","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.2066514,6.60247282345718
143,"Lat: 50.7206001, Lng: 7.0199221499999975","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
production biofuel wood
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

Other agroforestry products: Esskastanien-VerarbeitungMelonenPhysalisErdbeerenSchnittblumen","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.7206001,7.01992215
144,"Lat: 50.7358005, Lng: 7.852481","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.7358005,7.852481
145,"Lat: 49.99407085, Lng: 6.945119708483148","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",49.99407085,6.94511970848315
146,"Lat: 49.969544, Lng: 6.857573","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",49.969544,6.857573
147,"Lat: 49.95856, Lng: 6.89502","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Erosion protection
Reduce nutrient input into surface waters","","Agroforestry Map of Europe - DigitAF",49.95856,6.89502
148,"Lat: 50.4628827, Lng: 8.60403","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","susceptibility to erosion","(Intended) use of trees:
production stemwood

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.4628827,8.60403
149,"Lat: 50.39828, Lng: 8.249755","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","susceptibility to erosion","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.39828,8.249755
150,"Lat: 50.3975, Lng: 8.252972","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","susceptibility to erosion","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)

Other agroforestry products: Apfelschorle","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection","","Agroforestry Map of Europe - DigitAF",50.3975,8.252972
151,"Lat: 50.1916744, Lng: 8.7532439","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.1916744,8.7532439
152,"Lat: 50.0813706, Lng: 8.2438989","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity
Diversified product range","","Agroforestry Map of Europe - DigitAF",50.0813706,8.2438989
153,"Lat: 50.0645832, Lng: 8.3162136","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.0645832,8.3162136
154,"Lat: 50.06782083900103, Lng: 8.353892831399133","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.067820839001,8.35389283139913
155,"Lat: 50.066927, Lng: 8.354416","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity","","Agroforestry Map of Europe - DigitAF",50.066927,8.354416
156,"Lat: 50.051361, Lng: 7.789861","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity
low soil fertility
susceptibility to erosion","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.051361,7.789861
157,"Lat: 49.94006575, Lng: 8.216837650960343","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Erosion protection","","Agroforestry Map of Europe - DigitAF",49.94006575,8.21683765096034
158,"Lat: 49.984393749999995, Lng: 8.173004702997646","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",49.98439375,8.17300470299765
159,"Lat: 49.98337, Lng: 8.18503","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",49.98337,8.18503
160,"Lat: 49.8728293, Lng: 8.6831837","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics
improved marketing","","Agroforestry Map of Europe - DigitAF",49.8728293,8.6831837
161,"Lat: 49.5015213, Lng: 8.664485034546166","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity
low soil fertility","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",49.5015213,8.66448503454617
162,"Lat: 49.699725, Lng: 9.441946","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity
landscape with few structures / landscaope elements","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use


(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",49.699725,9.441946
163,"Lat: 49.564939, Lng: 10.089468","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",49.564939,10.089468
164,"Lat: 49.323086, Lng: 10.815769","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","susceptibility to erosion","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

Other agroforestry products: Neben den Kulturbaum- und straucharten sind im System diverse früh- und spätsukzessionelle Gehölze integriert. Vertikal besteht das System aus 5 Ebenen (KrautschichtUnterbauMittelbauoberer MittelbauOberbauÜberbau).","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",49.323086,10.815769
165,"Lat: 49.2686, Lng: 8.7203","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
other material use

Other agroforestry products: Holunder-Kräuter-Schaumwein","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",49.2686,8.7203
166,"Lat: 49.148417, Lng: 8.726083","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production stemwood

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range","","Agroforestry Map of Europe - DigitAF",49.148417,8.726083
167,"Lat: 49.1259429, Lng: 10.2059687","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics
improved marketing","","Agroforestry Map of Europe - DigitAF",49.1259429,10.2059687
168,"Lat: 49.298786, Lng: 9.8291737","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity","(Intended) use of trees:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

Other agroforestry products: Burgunder- und Perigordtrüffel","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range","","Agroforestry Map of Europe - DigitAF",49.298786,9.8291737
169,"Lat: 48.8346731, Lng: 9.208388","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","susceptibility to erosion","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics
improved marketing","","Agroforestry Map of Europe - DigitAF",48.8346731,9.208388
170,"Lat: 48.977327, Lng: 12.072725","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range","","Agroforestry Map of Europe - DigitAF",48.977327,12.072725
171,"Lat: 48.976115, Lng: 12.071364","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range","","Agroforestry Map of Europe - DigitAF",48.976115,12.071364
172,"Lat: 48.932511, Lng: 11.976104","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
improved marketing","","Agroforestry Map of Europe - DigitAF",48.932511,11.976104
173,"Lat: 48.881825, Lng: 11.774844","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection","","Agroforestry Map of Europe - DigitAF",48.881825,11.774844
174,"Lat: 48.7687988, Lng: 11.9722551","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
production biofuel wood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

Other agroforestry products: Schafe sind geplantBienenweide","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
improved marketing","","Agroforestry Map of Europe - DigitAF",48.7687988,11.9722551
175,"Lat: 48.64890662452105, Lng: 11.612131177842898","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Landscape / aesthetics
improved marketing","","Agroforestry Map of Europe - DigitAF",48.648906624521,11.6121311778429
176,"Lat: 48.1692954, Lng: 12.1765986","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production stemwood","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",48.1692954,12.1765986
177,"Lat: 48.332147, Lng: 13.001767","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","susceptibility to erosion","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",48.332147,13.001767
178,"Lat: 48.1352569, Lng: 7.8547575969715595","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity
low soil fertility
landscape with few structures / landscaope elements","(Intended) use of trees:
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",48.1352569,7.85475759697156
179,"Lat: 48.070005, Lng: 7.58910100000003","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity","","","","","Agroforestry Map of Europe - DigitAF",48.070005,7.58910100000003
180,"Lat: 50.4762, Lng: 13.90972","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

Other agroforestry products: Südhangwärmeliebende Obstarten (PfirsicheAprikosenFeigenKiwi etc.)Wassermanagementtrockene kontinentalklimatische Sommer","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.4762,13.90972
181,"Lat: 45.1403125, Lng: 11.5074375","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
production stemwood","","","","Agroforestry Map of Europe - DigitAF",45.1403125,11.5074375
182,"Lat: 56.894201, Lng: -2.542114","Glensaugh is managed as an upland livestock farm, but is also a research farm of the James Hutton Institute.
An experimental agroforestry system was setup and planted in 1988, to explore the production benefits and disbenefits of integrating trees within a livestock farming system. The site was part of the UK Silvopastoral National Network Experiment.
Three tree species were selected (Scots Pine, Hybrid Larch and Sycamore) and planted at a range of different densities. This allowed comparison of these differences on a range of factors including tree growth, grass production and livestock output. The site has been grazed by sheep and, more recently, also by suckler cattle.
The original experiment ended in 2000, but the majority of agroforestry plots were retained and maintained since then (some low density hybrid larch plots were felled in 1995), and have continued to provide a valuable platform for a range of scientific research. Currently some of the plots are schedule for thinning and some others for felling and restocking.
Building on lessons learned from these original research plots, as well as from agroforestry studies elsewhere, a new design of silvopastoral agroforestry has been planted in 2024 adjacent to the original plots. This integrates oak, a range of other amenity trees and grazing pasture.","","(Intended) use of trees:
production biofuel wood
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
production biofuel wood
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",56.894201,-2.542114
183,"Lat: 56.4192796, Lng: -4.6541424","Silvopastoral plot of 0.5 ha used for demonstration and research. 100 individually protected trees in 1.5m high weld-mesh cages at 7.14m spacing. A mix of native tree species have been used (alder, rowan, birch, oak, cherry and aspen). The improved pasture between the trees is grazed by sheep.","","(Intended) use of trees:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",56.4192796,-4.6541424
184,"Lat: 54.61825274, Lng: -2.542087809","Several of the pasture fields have had agroforestry planted in them. This ranges from areas of dense woodland to sparse individual in-field trees. The land has a range of gradients and so planting has been designed to take into account wind and water flows while also keeping to the characteristic scenery of the local area. The majority of planted species are native broadleaved trees with the primary aim being shelter and feed for the animals.
Hedges and blocks of woodland are fenced off while individual trees are protected by metal cactus guards.","","(Intended) use of trees:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",54.61825274,-2.542087809
185,"Lat: 53.86653, Lng: -1.329331","Two experimental setups. An experimental system of furniture trees (ash, cherry, sycamore and walnut, with hazel) in a cereal rotation. Four replicated blocks of farm woodland and agroforestry planted in 1990, no longer cropped. An experimental system of 4 cultivars of poplar in a cereal rotation. Three adjacent blocks of agroforestry planted in 1992, no longer cropped.","drought / low water holding capacity","(Intended) use of trees:
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",53.86653,-1.329331
186,"Lat: 52.7837, Lng: -2.7385","Contract rearing organically raised in-calf dairy heifers grazing and browsing in 20 m wide alleys between rows of a large range of tree species for a wide range of purposes from nut to sap to timber production, mainly deciduous but some coniferous to increase biodiversity.","","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",52.7837,-2.7385
187,"Lat: 52.6379, Lng: -1.0419","An experimental/demonstration system of trees (including aspen, cherry, crab apple, dogwood, field maple, hawthorn, hazel, hornbeam, oak, small leaved lime, walnut, wild privet) grown at a range of densities and grazed with sheep.","","(Intended) use of trees:
production biofuel wood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",52.6379,-1.0419
